Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HS;AS;HST;AST;HF;AF;HC;AC;HY;AY;HR;AR
P1;27/11/2017;Sp Braga;Feirense;3;1;H;3;1;H;10;8;7;4;16;20;6;3;0;2;0;0
P1;01/12/2017;Porto;Benfica;0;0;D;0;0;D;9;3;5;1;5;15;7;5;1;3;0;1
P1;01/12/2017;Sp Lisbon;Belenenses;1;0;H;1;0;H;8;8;4;3;15;16;5;3;1;3;0;0
P1;02/12/2017;Chaves;Boavista;0;0;D;0;0;D;9;7;3;5;13;18;6;1;1;5;0;0
P1;02/12/2017;Moreirense;Maritimo;1;1;D;1;1;D;11;2;5;2;15;15;8;3;3;1;1;0
P1;02/12/2017;Tondela;Rio Ave;1;3;A;0;1;A;4;7;2;3;14;3;4;2;2;2;0;0
P1;03/12/2017;Feirense;Aves;0;1;A;0;0;D;6;15;3;8;18;14;4;9;3;2;1;0
P1;03/12/2017;Setubal;Guimaraes;1;2;A;0;1;A;13;6;4;2;17;25;7;3;2;5;0;0
P1;03/12/2017;Sp Braga;Pacos Ferreira;3;0;H;0;0;D;11;2;6;1;15;20;8;4;2;3;0;1
P1;04/12/2017;Estoril;Portimonense;0;0;D;0;0;D;14;7;6;2;8;17;7;4;1;4;0;0
P1;08/12/2017;Rio Ave;Moreirense;2;1;H;0;0;D;11;4;6;2;8;23;3;1;3;4;0;0
P1;09/12/2017;Aves;Tondela;0;1;A;0;0;D;16;10;8;4;16;18;1;4;3;2;1;0
P1;09/12/2017;Benfica;Estoril;3;1;H;2;1;H;7;7;3;5;17;12;5;9;3;2;0;0
P1;09/12/2017;Boavista;Sp Lisbon;1;3;A;0;1;A;4;9;2;6;18;16;2;5;1;2;0;0
P1;10/12/2017;Belenenses;Pacos Ferreira;1;1;D;0;1;A;11;6;4;3;11;17;10;3;1;5;0;1
P1;10/12/2017;Portimonense;Chaves;0;1;A;0;0;D;14;3;7;1;18;18;8;7;3;3;0;0
P1;10/12/2017;Setubal;Porto;0;5;A;0;3;A;4;14;1;9;16;21;2;7;2;2;0;0
P1;11/12/2017;Guimaraes;Feirense;1;0;H;0;0;D;9;2;3;0;22;24;8;2;3;4;0;0
